method,backbone_id,seed_left,seed_right,seed_pair_identity_pct,seed_pair_diversity_pct
base,1545,43,44,76.6497461928934,23.350253807106604
base,1569,42,43,73.87640449438202,26.12359550561798
base,1569,42,44,77.24719101123596,22.752808988764038
base,1569,43,44,78.37078651685393,21.62921348314607
base,1587,42,43,71.85929648241206,28.14070351758794
base,1587,42,44,69.84924623115577,30.15075376884422
base,1587,43,44,72.8643216080402,27.135678391959793
base,1589,42,43,73.39901477832512,26.60098522167488
base,1589,42,44,57.14285714285714,42.85714285714286
base,1589,43,44,59.60591133004927,40.39408866995073
base,1598,42,43,72.38307349665925,27.616926503340757
base,1598,42,44,73.94209354120267,26.05790645879733
base,1598,43,44,72.82850779510022,27.17149220489977
base,1599,42,43,80.37037037037037,19.62962962962963
base,1599,42,44,80.37037037037037,19.62962962962963
base,1599,43,44,85.55555555555556,14.444444444444448
base,1609,42,43,61.43497757847533,38.56502242152467
base,1609,42,44,72.6457399103139,27.3542600896861
base,1609,43,44,63.22869955156951,36.77130044843049
base,1623,42,43,68.10457516339869,31.895424836601304
base,1623,42,44,70.32679738562092,29.67320261437908
base,1623,43,44,73.0718954248366,26.928104575163403
base,1628,42,43,79.65217391304348,20.347826086956523
base,1628,42,44,75.13043478260869,24.869565217391308
base,1628,43,44,75.47826086956522,24.52173913043478
base,1634,42,43,77.89855072463769,22.101449275362317
